X,Y,Cost
1675.0, 616.0, 491.0
1525.0, 726.0, 291.0
1479.0, 1027.0, 617.0
1229.0, 1036.0, 824.0
1172.0, 933.0, 125.0
893.0, 1198.0, 166.0
1065.0, 1451.0, 526.0
922.0, 1647.0, 785.0
772.0, 1422.0, 150.0
501.0, 1290.0, 5.0
550.0, 1241.0, 379.0
628.0, 974.0, 1081.0
583.0, 895.0, 158.0
314.0, 954.0, 736.0
331.0, 1322.0, 704.0
359.0, 1840.0, 1033.0
389.0, 1979.0, 686.0
229.0, 1847.0, 182.0
47.0, 1340.0, 88.0
60.0, 1148.0, 839.0
43.0, 770.0, 191.0
307.0, 671.0, 228.0
227.0, 534.0, 986.0
165.0, 413.0, 557.0
97.0, 409.0, 1025.0
263.0, 208.0, 527.0
249.0, 47.0, 774.0
373.0, 80.0, 931.0
661.0, 87.0, 903.0
816.0, 83.0, 607.0
656.0, 226.0, 931.0
729.0, 356.0, 976.0
518.0, 452.0, 296.0
724.0, 765.0, 581.0
883.0, 826.0, 345.0
928.0, 782.0, 163.0
949.0, 576.0, 1018.0
993.0, 581.0, 849.0
1416.0, 553.0, 555.0
1199.0, 322.0, 119.0
1311.0, 113.0, 736.0
1639.0, 4.0, 622.0
1651.0, 164.0, 197.0
1878.0, 234.0, 262.0
1913.0, 314.0, 175.0
2097.0, 299.0, 81.0
2343.0, 360.0, 965.0
2371.0, 371.0, 834.0
2524.0, 387.0, 414.0
2504.0, 302.0, 297.0
2398.0, 214.0, 497.0
2614.0, 132.0, 360.0
2769.0, 430.0, 500.0
3016.0, 260.0, 34.0
3134.0, 177.0, 311.0
3209.0, 224.0, 756.0
3562.0, 3.0, 82.0
3726.0, 56.0, 237.0
3828.0, 57.0, 178.0
3819.0, 191.0, 283.0
3796.0, 244.0, 1046.0
3697.0, 324.0, 394.0
3399.0, 405.0, 20.0
3400.0, 530.0, 145.0
3369.0, 697.0, 889.0
3469.0, 1080.0, 64.0
3587.0, 1123.0, 1064.0
3585.0, 1109.0, 277.0
3688.0, 759.0, 727.0
3901.0, 849.0, 606.0
3991.0, 1300.0, 246.0
3576.0, 1287.0, 286.0
3226.0, 1399.0, 1055.0
3088.0, 1482.0, 267.0
2898.0, 1609.0, 168.0
2678.0, 1417.0, 182.0
2662.0, 1405.0, 776.0
2498.0, 1204.0, 450.0

373.0, 80.0, 931.0
249.0, 47.0, 774.0
263.0, 208.0, 527.0
97.0, 409.0, 1025.0
165.0, 413.0, 557.0
227.0, 534.0, 986.0
307.0, 671.0, 228.0
43.0, 770.0, 191.0
60.0, 1148.0, 839.0
47.0, 1340.0, 88.0
331.0, 1322.0, 704.0
229.0, 1847.0, 182.0
389.0, 1979.0, 686.0
359.0, 1840.0, 1033.0
772.0, 1422.0, 150.0
922.0, 1647.0, 785.0
1065.0, 1451.0, 526.0
893.0, 1198.0, 166.0
1172.0, 933.0, 125.0
1229.0, 1036.0, 824.0
1479.0, 1027.0, 617.0
1355.0, 1796.0, 496.0
1199.0, 1948.0, 611.0
1417.0, 1961.0, 424.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2121.0, 1641.0, 859.0
2005.0, 1631.0, 819.0
1902.0, 1390.0, 293.0
1774.0, 1020.0, 70.0
1823.0, 868.0, 445.0
1852.0, 682.0, 561.0
1972.0, 616.0, 129.0
2237.0, 764.0, 323.0
2337.0, 850.0, 962.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2524.0, 387.0, 414.0
2504.0, 302.0, 297.0
2769.0, 430.0, 500.0
3023.0, 557.0, 657.0
3174.0, 606.0, 390.0
3134.0, 746.0, 555.0
3144.0, 924.0, 585.0
3166.0, 973.0, 557.0
3171.0, 1147.0, 264.0
3134.0, 1169.0, 420.0
3131.0, 1199.0, 1133.0
2943.0, 1341.0, 104.0
2866.0, 1409.0, 939.0
2498.0, 1204.0, 450.0
2662.0, 1405.0, 776.0
2678.0, 1417.0, 182.0
2898.0, 1609.0, 168.0
3088.0, 1482.0, 267.0
3576.0, 1287.0, 286.0
3991.0, 1300.0, 246.0
3901.0, 849.0, 606.0
3688.0, 759.0, 727.0
3585.0, 1109.0, 277.0
3587.0, 1123.0, 1064.0
3469.0, 1080.0, 64.0
3369.0, 697.0, 889.0
3400.0, 530.0, 145.0
3399.0, 405.0, 20.0
3697.0, 324.0, 394.0
3796.0, 244.0, 1046.0
3819.0, 191.0, 283.0
3828.0, 57.0, 178.0
3726.0, 56.0, 237.0
3562.0, 3.0, 82.0
3209.0, 224.0, 756.0
3134.0, 177.0, 311.0
3069.0, 412.0, 1133.0
3016.0, 260.0, 34.0
2614.0, 132.0, 360.0
2398.0, 214.0, 497.0
2371.0, 371.0, 834.0
2343.0, 360.0, 965.0
2097.0, 299.0, 81.0
1913.0, 314.0, 175.0
1878.0, 234.0, 262.0
1639.0, 4.0, 622.0
1651.0, 164.0, 197.0
1675.0, 616.0, 491.0
1525.0, 726.0, 291.0
1416.0, 553.0, 555.0
1311.0, 113.0, 736.0
1199.0, 322.0, 119.0
993.0, 581.0, 849.0
949.0, 576.0, 1018.0
928.0, 782.0, 163.0
883.0, 826.0, 345.0
724.0, 765.0, 581.0
628.0, 974.0, 1081.0
550.0, 1241.0, 379.0
501.0, 1290.0, 5.0
314.0, 954.0, 736.0
583.0, 895.0, 158.0
518.0, 452.0, 296.0

729.0, 356.0, 976.0
816.0, 83.0, 607.0
656.0, 226.0, 931.0
518.0, 452.0, 296.0
724.0, 765.0, 581.0
928.0, 782.0, 163.0
883.0, 826.0, 345.0
583.0, 895.0, 158.0
314.0, 954.0, 736.0
307.0, 671.0, 228.0
227.0, 534.0, 986.0
263.0, 208.0, 527.0
373.0, 80.0, 931.0
249.0, 47.0, 774.0
165.0, 413.0, 557.0
97.0, 409.0, 1025.0
43.0, 770.0, 191.0
60.0, 1148.0, 839.0
47.0, 1340.0, 88.0
229.0, 1847.0, 182.0
389.0, 1979.0, 686.0
359.0, 1840.0, 1033.0
331.0, 1322.0, 704.0
501.0, 1290.0, 5.0
550.0, 1241.0, 379.0
772.0, 1422.0, 150.0
922.0, 1647.0, 785.0
1065.0, 1451.0, 526.0
893.0, 1198.0, 166.0
1172.0, 933.0, 125.0
1229.0, 1036.0, 824.0
1479.0, 1027.0, 617.0
1355.0, 1796.0, 496.0
1199.0, 1948.0, 611.0
1417.0, 1961.0, 424.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2121.0, 1641.0, 859.0
2005.0, 1631.0, 819.0
1902.0, 1390.0, 293.0
1774.0, 1020.0, 70.0
1823.0, 868.0, 445.0
1852.0, 682.0, 561.0
1972.0, 616.0, 129.0
2237.0, 764.0, 323.0
2337.0, 850.0, 962.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2524.0, 387.0, 414.0
2504.0, 302.0, 297.0
2769.0, 430.0, 500.0
3023.0, 557.0, 657.0
3174.0, 606.0, 390.0
3134.0, 746.0, 555.0
3144.0, 924.0, 585.0
3166.0, 973.0, 557.0
3171.0, 1147.0, 264.0
3134.0, 1169.0, 420.0
2943.0, 1341.0, 104.0
2866.0, 1409.0, 939.0
2498.0, 1204.0, 450.0
2662.0, 1405.0, 776.0
2678.0, 1417.0, 182.0
2898.0, 1609.0, 168.0
3088.0, 1482.0, 267.0
3576.0, 1287.0, 286.0
3991.0, 1300.0, 246.0
3901.0, 849.0, 606.0
3688.0, 759.0, 727.0
3585.0, 1109.0, 277.0
3587.0, 1123.0, 1064.0
3469.0, 1080.0, 64.0
3369.0, 697.0, 889.0
3400.0, 530.0, 145.0
3399.0, 405.0, 20.0
3697.0, 324.0, 394.0
3796.0, 244.0, 1046.0
3819.0, 191.0, 283.0
3828.0, 57.0, 178.0
3726.0, 56.0, 237.0
3562.0, 3.0, 82.0
3209.0, 224.0, 756.0
3134.0, 177.0, 311.0
3016.0, 260.0, 34.0
2614.0, 132.0, 360.0
2398.0, 214.0, 497.0
2371.0, 371.0, 834.0
2343.0, 360.0, 965.0
2097.0, 299.0, 81.0
1913.0, 314.0, 175.0
1878.0, 234.0, 262.0
1639.0, 4.0, 622.0
1651.0, 164.0, 197.0
1675.0, 616.0, 491.0
1525.0, 726.0, 291.0
1416.0, 553.0, 555.0
1311.0, 113.0, 736.0
1199.0, 322.0, 119.0
993.0, 581.0, 849.0
949.0, 576.0, 1018.0

2219.0, 964.0, 1370.0
2337.0, 850.0, 962.0
2237.0, 764.0, 323.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2524.0, 387.0, 414.0
2504.0, 302.0, 297.0
2769.0, 430.0, 500.0
3023.0, 557.0, 657.0
3174.0, 606.0, 390.0
3134.0, 746.0, 555.0
3144.0, 924.0, 585.0
3166.0, 973.0, 557.0
3171.0, 1147.0, 264.0
3134.0, 1169.0, 420.0
2943.0, 1341.0, 104.0
2866.0, 1409.0, 939.0
2498.0, 1204.0, 450.0
2662.0, 1405.0, 776.0
2678.0, 1417.0, 182.0
2898.0, 1609.0, 168.0
3088.0, 1482.0, 267.0
3576.0, 1287.0, 286.0
3991.0, 1300.0, 246.0
3901.0, 849.0, 606.0
3688.0, 759.0, 727.0
3585.0, 1109.0, 277.0
3587.0, 1123.0, 1064.0
3469.0, 1080.0, 64.0
3369.0, 697.0, 889.0
3400.0, 530.0, 145.0
3399.0, 405.0, 20.0
3697.0, 324.0, 394.0
3796.0, 244.0, 1046.0
3819.0, 191.0, 283.0
3828.0, 57.0, 178.0
3726.0, 56.0, 237.0
3562.0, 3.0, 82.0
3209.0, 224.0, 756.0
3134.0, 177.0, 311.0
3016.0, 260.0, 34.0
2614.0, 132.0, 360.0
2398.0, 214.0, 497.0
2371.0, 371.0, 834.0
2343.0, 360.0, 965.0
2097.0, 299.0, 81.0
1878.0, 234.0, 262.0
1639.0, 4.0, 622.0
1651.0, 164.0, 197.0
1913.0, 314.0, 175.0
1972.0, 616.0, 129.0
1852.0, 682.0, 561.0
1823.0, 868.0, 445.0
1774.0, 1020.0, 70.0
1479.0, 1027.0, 617.0
1525.0, 726.0, 291.0
1675.0, 616.0, 491.0
1416.0, 553.0, 555.0
1311.0, 113.0, 736.0
1199.0, 322.0, 119.0
949.0, 576.0, 1018.0
993.0, 581.0, 849.0
1172.0, 933.0, 125.0
1229.0, 1036.0, 824.0
928.0, 782.0, 163.0
883.0, 826.0, 345.0
724.0, 765.0, 581.0
518.0, 452.0, 296.0
656.0, 226.0, 931.0
816.0, 83.0, 607.0
661.0, 87.0, 903.0
249.0, 47.0, 774.0
263.0, 208.0, 527.0
165.0, 413.0, 557.0
227.0, 534.0, 986.0
307.0, 671.0, 228.0
43.0, 770.0, 191.0
60.0, 1148.0, 839.0
47.0, 1340.0, 88.0
229.0, 1847.0, 182.0
389.0, 1979.0, 686.0
359.0, 1840.0, 1033.0
331.0, 1322.0, 704.0
314.0, 954.0, 736.0
583.0, 895.0, 158.0
628.0, 974.0, 1081.0
550.0, 1241.0, 379.0
501.0, 1290.0, 5.0
772.0, 1422.0, 150.0
893.0, 1198.0, 166.0
1065.0, 1451.0, 526.0
922.0, 1647.0, 785.0
1199.0, 1948.0, 611.0
1355.0, 1796.0, 496.0
1417.0, 1961.0, 424.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2121.0, 1641.0, 859.0
2005.0, 1631.0, 819.0
1902.0, 1390.0, 293.0

1410.0, 1050.0, 1326.0
1479.0, 1027.0, 617.0
1355.0, 1796.0, 496.0
1199.0, 1948.0, 611.0
1417.0, 1961.0, 424.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2121.0, 1641.0, 859.0
2005.0, 1631.0, 819.0
1902.0, 1390.0, 293.0
2498.0, 1204.0, 450.0
2662.0, 1405.0, 776.0
2678.0, 1417.0, 182.0
2898.0, 1609.0, 168.0
2866.0, 1409.0, 939.0
2943.0, 1341.0, 104.0
3088.0, 1482.0, 267.0
3134.0, 1169.0, 420.0
3171.0, 1147.0, 264.0
3166.0, 973.0, 557.0
3469.0, 1080.0, 64.0
3585.0, 1109.0, 277.0
3587.0, 1123.0, 1064.0
3576.0, 1287.0, 286.0
3991.0, 1300.0, 246.0
3901.0, 849.0, 606.0
3688.0, 759.0, 727.0
3697.0, 324.0, 394.0
3796.0, 244.0, 1046.0
3819.0, 191.0, 283.0
3828.0, 57.0, 178.0
3726.0, 56.0, 237.0
3562.0, 3.0, 82.0
3399.0, 405.0, 20.0
3400.0, 530.0, 145.0
3369.0, 697.0, 889.0
3144.0, 924.0, 585.0
3134.0, 746.0, 555.0
3174.0, 606.0, 390.0
3023.0, 557.0, 657.0
3209.0, 224.0, 756.0
3134.0, 177.0, 311.0
3016.0, 260.0, 34.0
2769.0, 430.0, 500.0
2614.0, 132.0, 360.0
2504.0, 302.0, 297.0
2524.0, 387.0, 414.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2371.0, 371.0, 834.0
2343.0, 360.0, 965.0
2398.0, 214.0, 497.0
2097.0, 299.0, 81.0
2237.0, 764.0, 323.0
1972.0, 616.0, 129.0
1852.0, 682.0, 561.0
1823.0, 868.0, 445.0
1774.0, 1020.0, 70.0
1525.0, 726.0, 291.0
1416.0, 553.0, 555.0
1675.0, 616.0, 491.0
1913.0, 314.0, 175.0
1878.0, 234.0, 262.0
1651.0, 164.0, 197.0
1639.0, 4.0, 622.0
1311.0, 113.0, 736.0
1199.0, 322.0, 119.0
993.0, 581.0, 849.0
949.0, 576.0, 1018.0
928.0, 782.0, 163.0
883.0, 826.0, 345.0
724.0, 765.0, 581.0
518.0, 452.0, 296.0
729.0, 356.0, 976.0
656.0, 226.0, 931.0
816.0, 83.0, 607.0
661.0, 87.0, 903.0
373.0, 80.0, 931.0
249.0, 47.0, 774.0
263.0, 208.0, 527.0
165.0, 413.0, 557.0
227.0, 534.0, 986.0
307.0, 671.0, 228.0
43.0, 770.0, 191.0
314.0, 954.0, 736.0
583.0, 895.0, 158.0
772.0, 1422.0, 150.0
550.0, 1241.0, 379.0
501.0, 1290.0, 5.0
331.0, 1322.0, 704.0
60.0, 1148.0, 839.0
47.0, 1340.0, 88.0
229.0, 1847.0, 182.0
359.0, 1840.0, 1033.0
389.0, 1979.0, 686.0
922.0, 1647.0, 785.0
1065.0, 1451.0, 526.0
893.0, 1198.0, 166.0
1172.0, 933.0, 125.0
1229.0, 1036.0, 824.0

3226.0, 1399.0, 1055.0
3576.0, 1287.0, 286.0
3991.0, 1300.0, 246.0
3901.0, 849.0, 606.0
3688.0, 759.0, 727.0
3585.0, 1109.0, 277.0
3587.0, 1123.0, 1064.0
3469.0, 1080.0, 64.0
3369.0, 697.0, 889.0
3400.0, 530.0, 145.0
3399.0, 405.0, 20.0
3697.0, 324.0, 394.0
3796.0, 244.0, 1046.0
3819.0, 191.0, 283.0
3828.0, 57.0, 178.0
3726.0, 56.0, 237.0
3562.0, 3.0, 82.0
3209.0, 224.0, 756.0
3134.0, 177.0, 311.0
3016.0, 260.0, 34.0
2614.0, 132.0, 360.0
2398.0, 214.0, 497.0
2371.0, 371.0, 834.0
2343.0, 360.0, 965.0
2097.0, 299.0, 81.0
1913.0, 314.0, 175.0
1878.0, 234.0, 262.0
1651.0, 164.0, 197.0
1639.0, 4.0, 622.0
1311.0, 113.0, 736.0
1199.0, 322.0, 119.0
1416.0, 553.0, 555.0
993.0, 581.0, 849.0
949.0, 576.0, 1018.0
928.0, 782.0, 163.0
883.0, 826.0, 345.0
724.0, 765.0, 581.0
518.0, 452.0, 296.0
656.0, 226.0, 931.0
816.0, 83.0, 607.0
661.0, 87.0, 903.0
373.0, 80.0, 931.0
249.0, 47.0, 774.0
263.0, 208.0, 527.0
165.0, 413.0, 557.0
227.0, 534.0, 986.0
307.0, 671.0, 228.0
43.0, 770.0, 191.0
60.0, 1148.0, 839.0
47.0, 1340.0, 88.0
229.0, 1847.0, 182.0
389.0, 1979.0, 686.0
359.0, 1840.0, 1033.0
331.0, 1322.0, 704.0
314.0, 954.0, 736.0
583.0, 895.0, 158.0
628.0, 974.0, 1081.0
550.0, 1241.0, 379.0
501.0, 1290.0, 5.0
772.0, 1422.0, 150.0
922.0, 1647.0, 785.0
1065.0, 1451.0, 526.0
893.0, 1198.0, 166.0
1172.0, 933.0, 125.0
1229.0, 1036.0, 824.0
1479.0, 1027.0, 617.0
1525.0, 726.0, 291.0
1675.0, 616.0, 491.0
1774.0, 1020.0, 70.0
1823.0, 868.0, 445.0
1852.0, 682.0, 561.0
1972.0, 616.0, 129.0
2237.0, 764.0, 323.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2524.0, 387.0, 414.0
2504.0, 302.0, 297.0
2769.0, 430.0, 500.0
3023.0, 557.0, 657.0
3174.0, 606.0, 390.0
3134.0, 746.0, 555.0
3144.0, 924.0, 585.0
3166.0, 973.0, 557.0
3171.0, 1147.0, 264.0
3134.0, 1169.0, 420.0
2943.0, 1341.0, 104.0
2866.0, 1409.0, 939.0
2678.0, 1417.0, 182.0
2662.0, 1405.0, 776.0
2498.0, 1204.0, 450.0
1902.0, 1390.0, 293.0
1355.0, 1796.0, 496.0
1199.0, 1948.0, 611.0
1417.0, 1961.0, 424.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2121.0, 1641.0, 859.0
2428.0, 1551.0, 891.0
2898.0, 1609.0, 168.0
3088.0, 1482.0, 267.0

2286.0, 1740.0, 1022.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2005.0, 1631.0, 819.0
2121.0, 1641.0, 859.0
2428.0, 1551.0, 891.0
2498.0, 1204.0, 450.0
2662.0, 1405.0, 776.0
2678.0, 1417.0, 182.0
2866.0, 1409.0, 939.0
2943.0, 1341.0, 104.0
3134.0, 1169.0, 420.0
3171.0, 1147.0, 264.0
3166.0, 973.0, 557.0
3144.0, 924.0, 585.0
3134.0, 746.0, 555.0
3174.0, 606.0, 390.0
3023.0, 557.0, 657.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2524.0, 387.0, 414.0
2504.0, 302.0, 297.0
2371.0, 371.0, 834.0
2237.0, 764.0, 323.0
1972.0, 616.0, 129.0
1852.0, 682.0, 561.0
1823.0, 868.0, 445.0
1902.0, 1390.0, 293.0
1774.0, 1020.0, 70.0
1675.0, 616.0, 491.0
1525.0, 726.0, 291.0
1479.0, 1027.0, 617.0
1229.0, 1036.0, 824.0
1172.0, 933.0, 125.0
893.0, 1198.0, 166.0
1065.0, 1451.0, 526.0
922.0, 1647.0, 785.0
772.0, 1422.0, 150.0
501.0, 1290.0, 5.0
550.0, 1241.0, 379.0
628.0, 974.0, 1081.0
583.0, 895.0, 158.0
314.0, 954.0, 736.0
331.0, 1322.0, 704.0
359.0, 1840.0, 1033.0
389.0, 1979.0, 686.0
229.0, 1847.0, 182.0
47.0, 1340.0, 88.0
60.0, 1148.0, 839.0
43.0, 770.0, 191.0
307.0, 671.0, 228.0
227.0, 534.0, 986.0
165.0, 413.0, 557.0
263.0, 208.0, 527.0
249.0, 47.0, 774.0
373.0, 80.0, 931.0
661.0, 87.0, 903.0
816.0, 83.0, 607.0
656.0, 226.0, 931.0
729.0, 356.0, 976.0
518.0, 452.0, 296.0
724.0, 765.0, 581.0
883.0, 826.0, 345.0
928.0, 782.0, 163.0
949.0, 576.0, 1018.0
993.0, 581.0, 849.0
1416.0, 553.0, 555.0
1199.0, 322.0, 119.0
1311.0, 113.0, 736.0
1639.0, 4.0, 622.0
1651.0, 164.0, 197.0
1878.0, 234.0, 262.0
1913.0, 314.0, 175.0
2097.0, 299.0, 81.0
2343.0, 360.0, 965.0
2398.0, 214.0, 497.0
2614.0, 132.0, 360.0
2769.0, 430.0, 500.0
3016.0, 260.0, 34.0
3134.0, 177.0, 311.0
3209.0, 224.0, 756.0
3562.0, 3.0, 82.0
3726.0, 56.0, 237.0
3828.0, 57.0, 178.0
3819.0, 191.0, 283.0
3796.0, 244.0, 1046.0
3697.0, 324.0, 394.0
3399.0, 405.0, 20.0
3400.0, 530.0, 145.0
3369.0, 697.0, 889.0
3469.0, 1080.0, 64.0
3587.0, 1123.0, 1064.0
3585.0, 1109.0, 277.0
3688.0, 759.0, 727.0
3901.0, 849.0, 606.0
3991.0, 1300.0, 246.0
3576.0, 1287.0, 286.0
3226.0, 1399.0, 1055.0
3088.0, 1482.0, 267.0
2898.0, 1609.0, 168.0

1199.0, 1948.0, 611.0
1355.0, 1796.0, 496.0
1417.0, 1961.0, 424.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2121.0, 1641.0, 859.0
2005.0, 1631.0, 819.0
1902.0, 1390.0, 293.0
1774.0, 1020.0, 70.0
1823.0, 868.0, 445.0
1479.0, 1027.0, 617.0
1525.0, 726.0, 291.0
1416.0, 553.0, 555.0
1675.0, 616.0, 491.0
1852.0, 682.0, 561.0
1972.0, 616.0, 129.0
2237.0, 764.0, 323.0
2337.0, 850.0, 962.0
2682.0, 984.0, 960.0
2498.0, 1204.0, 450.0
2662.0, 1405.0, 776.0
2678.0, 1417.0, 182.0
2866.0, 1409.0, 939.0
2943.0, 1341.0, 104.0
2898.0, 1609.0, 168.0
3088.0, 1482.0, 267.0
3134.0, 1169.0, 420.0
3171.0, 1147.0, 264.0
3576.0, 1287.0, 286.0
3991.0, 1300.0, 246.0
3901.0, 849.0, 606.0
3688.0, 759.0, 727.0
3585.0, 1109.0, 277.0
3587.0, 1123.0, 1064.0
3469.0, 1080.0, 64.0
3166.0, 973.0, 557.0
3144.0, 924.0, 585.0
3134.0, 746.0, 555.0
3023.0, 557.0, 657.0
3174.0, 606.0, 390.0
3369.0, 697.0, 889.0
3400.0, 530.0, 145.0
3399.0, 405.0, 20.0
3697.0, 324.0, 394.0
3796.0, 244.0, 1046.0
3819.0, 191.0, 283.0
3828.0, 57.0, 178.0
3726.0, 56.0, 237.0
3562.0, 3.0, 82.0
3134.0, 177.0, 311.0
3016.0, 260.0, 34.0
2769.0, 430.0, 500.0
2614.0, 132.0, 360.0
2504.0, 302.0, 297.0
2524.0, 387.0, 414.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2371.0, 371.0, 834.0
2343.0, 360.0, 965.0
2398.0, 214.0, 497.0
2097.0, 299.0, 81.0
1913.0, 314.0, 175.0
1878.0, 234.0, 262.0
1651.0, 164.0, 197.0
1639.0, 4.0, 622.0
1311.0, 113.0, 736.0
1199.0, 322.0, 119.0
993.0, 581.0, 849.0
949.0, 576.0, 1018.0
729.0, 356.0, 976.0
518.0, 452.0, 296.0
656.0, 226.0, 931.0
816.0, 83.0, 607.0
661.0, 87.0, 903.0
373.0, 80.0, 931.0
249.0, 47.0, 774.0
263.0, 208.0, 527.0
165.0, 413.0, 557.0
227.0, 534.0, 986.0
307.0, 671.0, 228.0
43.0, 770.0, 191.0
314.0, 954.0, 736.0
583.0, 895.0, 158.0
724.0, 765.0, 581.0
883.0, 826.0, 345.0
928.0, 782.0, 163.0
1172.0, 933.0, 125.0
1229.0, 1036.0, 824.0
893.0, 1198.0, 166.0
1065.0, 1451.0, 526.0
922.0, 1647.0, 785.0
772.0, 1422.0, 150.0
550.0, 1241.0, 379.0
501.0, 1290.0, 5.0
331.0, 1322.0, 704.0
60.0, 1148.0, 839.0
47.0, 1340.0, 88.0
229.0, 1847.0, 182.0
359.0, 1840.0, 1033.0
389.0, 1979.0, 686.0

2337.0, 850.0, 962.0
3023.0, 557.0, 657.0
3174.0, 606.0, 390.0
3369.0, 697.0, 889.0
3134.0, 746.0, 555.0
3144.0, 924.0, 585.0
3166.0, 973.0, 557.0
2943.0, 1341.0, 104.0
2866.0, 1409.0, 939.0
2498.0, 1204.0, 450.0
2662.0, 1405.0, 776.0
2678.0, 1417.0, 182.0
2898.0, 1609.0, 168.0
3088.0, 1482.0, 267.0
3134.0, 1169.0, 420.0
3171.0, 1147.0, 264.0
3469.0, 1080.0, 64.0
3585.0, 1109.0, 277.0
3587.0, 1123.0, 1064.0
3576.0, 1287.0, 286.0
3991.0, 1300.0, 246.0
3901.0, 849.0, 606.0
3688.0, 759.0, 727.0
3400.0, 530.0, 145.0
3399.0, 405.0, 20.0
3697.0, 324.0, 394.0
3796.0, 244.0, 1046.0
3819.0, 191.0, 283.0
3828.0, 57.0, 178.0
3726.0, 56.0, 237.0
3562.0, 3.0, 82.0
3209.0, 224.0, 756.0
3134.0, 177.0, 311.0
3016.0, 260.0, 34.0
2769.0, 430.0, 500.0
2614.0, 132.0, 360.0
2504.0, 302.0, 297.0
2524.0, 387.0, 414.0
2549.0, 554.0, 351.0
2465.0, 426.0, 310.0
2371.0, 371.0, 834.0
2343.0, 360.0, 965.0
2398.0, 214.0, 497.0
2097.0, 299.0, 81.0
1913.0, 314.0, 175.0
1878.0, 234.0, 262.0
1651.0, 164.0, 197.0
1639.0, 4.0, 622.0
1311.0, 113.0, 736.0
1199.0, 322.0, 119.0
1416.0, 553.0, 555.0
1525.0, 726.0, 291.0
1479.0, 1027.0, 617.0
1229.0, 1036.0, 824.0
1172.0, 933.0, 125.0
993.0, 581.0, 849.0
949.0, 576.0, 1018.0
928.0, 782.0, 163.0
883.0, 826.0, 345.0
724.0, 765.0, 581.0
518.0, 452.0, 296.0
729.0, 356.0, 976.0
656.0, 226.0, 931.0
816.0, 83.0, 607.0
661.0, 87.0, 903.0
373.0, 80.0, 931.0
249.0, 47.0, 774.0
263.0, 208.0, 527.0
165.0, 413.0, 557.0
227.0, 534.0, 986.0
307.0, 671.0, 228.0
43.0, 770.0, 191.0
314.0, 954.0, 736.0
583.0, 895.0, 158.0
550.0, 1241.0, 379.0
501.0, 1290.0, 5.0
331.0, 1322.0, 704.0
60.0, 1148.0, 839.0
47.0, 1340.0, 88.0
229.0, 1847.0, 182.0
359.0, 1840.0, 1033.0
389.0, 1979.0, 686.0
922.0, 1647.0, 785.0
772.0, 1422.0, 150.0
893.0, 1198.0, 166.0
1065.0, 1451.0, 526.0
1355.0, 1796.0, 496.0
1199.0, 1948.0, 611.0
1417.0, 1961.0, 424.0
1838.0, 1943.0, 43.0
1922.0, 1845.0, 754.0
2121.0, 1641.0, 859.0
2005.0, 1631.0, 819.0
1902.0, 1390.0, 293.0
1774.0, 1020.0, 70.0
1823.0, 868.0, 445.0
1675.0, 616.0, 491.0
1852.0, 682.0, 561.0
1972.0, 616.0, 129.0
2237.0, 764.0, 323.0

359.0, 1840.0, 1033.0
389.0, 1979.0, 686.0
229.0, 1847.0, 182.0
47.0, 1340.0, 88.0
60.0, 1148.0, 839.0
331.0, 1322.0, 704.0
501.0, 1290.0, 5.0
550.0, 1241.0, 379.0
314.0, 954.0, 736.0
43.0, 770.0, 191.0
307.0, 671.0, 228.0
227.0, 534.0, 986.0
165.0, 413.0, 557.0
263.0, 208.0, 527.0
249.0, 47.0, 774.0
373.0, 80.0, 931.0
661.0, 87.0, 903.0
816.0, 83.0, 607.0
656.0, 226.0, 931.0
729.0, 356.0, 976.0
518.0, 452.0, 296.0
583.0, 895.0, 158.0
724.0, 765.0, 581.0
883.0, 826.0, 345.0
928.0, 782.0, 163.0
949.0, 576.0, 1018.0
993.0, 581.0, 849.0
1199.0, 322.0, 119.0
1311.0, 113.0, 736.0
1416.0, 553.0, 555.0
1525.0, 726.0, 291.0
1675.0, 616.0, 491.0
1651.0, 164.0, 197.0
1639.0, 4.0, 622.0
1878.0, 234.0, 262.0
1913.0, 314.0, 175.0
2097.0, 299.0, 81.0
2343.0, 360.0, 965.0
2371.0, 371.0, 834.0
2398.0, 214.0, 497.0
2614.0, 132.0, 360.0
3016.0, 260.0, 34.0
3134.0, 177.0, 311.0
3209.0, 224.0, 756.0
3562.0, 3.0, 82.0
3726.0, 56.0, 237.0
3828.0, 57.0, 178.0
3819.0, 191.0, 283.0
